split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_physics_unweighted,0.8122848868370056,0.3143218755722046,0.8851800560951233,0.8851800560951233
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_physics_unweighted,0.8694304823875427,0.3328816592693329,0.9189808368682861,0.9189808368682861
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_physics_unweighted,0.7565049529075623,0.26678115129470825,0.8984742760658264,0.8984742760658264
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_physics_unweighted,0.7882280349731445,0.3104947805404663,0.8452876806259155,0.8452876806259155
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_physics_unweighted,0.7404651641845703,0.24662868678569794,0.7404651641845703,0.7404651641845703
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_physics_unweighted,0.7791001796722412,0.5422481298446655,0.8978979587554932,0.8978979587554932
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_physics_unweighted,0.877336859703064,0.32142433524131775,0.877336859703064,0.877336859703064
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_physics_unweighted,0.7168777585029602,0.03845954313874245,0.8475497364997864,0.8475497364997864
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,xgb_physics_unweighted,0.7329068779945374,0.06897492706775665,0.8405031561851501,0.8405031561851501
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,xgb_physics_unweighted,0.7814919352531433,0.37505826354026794,0.8186905384063721,0.8186905384063721
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,xgb_physics_unweighted,0.8102004528045654,0.36774876713752747,0.8102004528045654,0.8102004528045654
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,xgb_physics_unweighted,0.7913329601287842,0.2931147515773773,0.842042863368988,0.842042863368988
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,xgb_physics_unweighted,0.8387609124183655,0.4667602777481079,0.8387609124183655,0.8387609124183655
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,xgb_physics_unweighted,0.8180814385414124,0.2701563239097595,0.8537874221801758,0.8537874221801758
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,xgb_physics_unweighted,0.8715214133262634,0.3823815882205963,0.8742796778678894,0.8742796778678894
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,xgb_physics_unweighted,0.8903472423553467,0.3866017162799835,0.8903472423553467,0.8903472423553467
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,xgb_physics_unweighted,0.824205756187439,0.25340181589126587,0.8675814867019653,0.8675814867019653
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,xgb_physics_unweighted,0.8346850275993347,0.23337332904338837,0.8346850275993347,0.8346850275993347
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,xgb_physics_unweighted,0.7802232503890991,0.03180854395031929,0.8075812458992004,0.8075812458992004
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,xgb_physics_unweighted,0.6552231907844543,0.16083726286888123,0.8883095979690552,0.8883095979690552
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,xgb_physics_unweighted,0.8615229725837708,0.45692721009254456,0.9014787077903748,0.9014787077903748
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,xgb_physics_unweighted,0.7585062384605408,0.4546222984790802,0.8622428178787231,0.8622428178787231
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,xgb_physics_unweighted,0.7513924241065979,0.40680214762687683,0.9018046259880066,0.9018046259880066
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,xgb_physics_unweighted,0.784748911857605,0.4270835518836975,0.8444748520851135,0.8444748520851135
